Round Number, Total Energy Consumption
454,18.060705
455,18.081747
456,18.103353
457,18.122661
458,18.143223
459,18.161126
460,18.185870
461,18.205496
462,18.226929
463,18.246929
464,18.266438
465,18.287744
466,18.330006
467,18.336406
468,18.357359
469,18.375835
470,18.395133
471,18.416964
472,18.435198
473,18.457380
474,18.479391
475,18.498377
476,18.523045
477,18.533985
478,18.553395
479,18.573687
480,18.591266
481,18.612674
482,18.636636
483,18.658060
484,18.668226
485,18.689486
486,18.706627
487,18.724975
488,18.742228
489,18.762531
490,18.783011
491,18.799730
492,18.819595
493,18.835753
494,18.854443
495,18.860643
496,18.878813
497,18.900310
498,18.916462
499,18.935332
500,18.954127
501,18.976388
502,18.993024
503,19.013082
504,19.029708
505,19.048398
506,19.066598
507,19.087731
508,19.104578
509,19.128192
510,19.144471
511,19.179102
512,19.197786
513,19.214538
514,19.235862
515,19.253343
516,19.274601
517,19.296770
518,19.315460
519,19.331612
520,19.353289
521,19.371803
522,19.393089
523,19.409386
524,19.425802
525,19.486105
526,19.504928
527,19.522579
528,19.541829
529,19.562421
530,19.583782
531,19.589982
532,19.611895
533,19.635540
534,19.655622
535,19.671577
536,19.688256
537,19.704720
538,19.720696
539,19.738801
540,19.754782
541,19.770461
542,19.786645
543,19.808880
544,19.826022
545,19.842743
546,19.861762
547,19.880904
548,19.886904
549,19.904787
550,19.926262
551,19.943096
552,19.961904
553,19.977282
554,19.993998
555,20.015365
556,20.031084
557,20.050229
558,20.066763
559,20.085588
560,20.102078
561,20.117084
562,20.132043
563,20.149131
564,20.164695
565,20.180625
566,20.195710
567,20.201310
568,20.223939
569,20.229539
570,20.235139
571,20.250360
572,20.264853
573,20.285854
574,20.301917
575,20.323764
576,20.339219
577,20.344819
578,20.361175
579,20.376346
580,20.390835
581,20.404937
582,20.421235
583,20.442278
584,20.460814
585,20.487589
586,20.502067
587,20.521072
588,20.542045
589,20.557044
590,20.572030
591,20.587704
592,20.600758
593,20.614692
594,20.644483
595,20.659063
596,20.672792
597,20.698037
598,20.716767
599,20.730655
600,20.751900
601,20.771881
602,20.786875
603,20.802156
604,20.817366
605,20.830847
606,20.855341
607,20.870640
608,20.876040
609,20.890130
610,20.907059
611,20.921878
612,20.935769
613,20.949820
614,20.963730
615,20.978593
616,20.994357
617,21.009412
618,21.025588
619,21.038907
620,21.052626
621,21.066819
622,21.082507
623,21.101339
624,21.115791
625,21.132501
626,21.148176
627,21.163863
628,21.184369
629,21.199303
630,21.214861
631,21.232163
632,21.246509
633,21.263091
634,21.268491
635,21.281748
636,21.297420
637,21.314487
638,21.327649
639,21.342518
640,21.356325
641,21.372767
642,21.386114
643,21.401474
644,21.417597
645,21.436172
646,21.449176
647,21.464557
648,21.478509
649,21.495324
650,21.510964
651,21.523633
652,21.537067
653,21.542267
654,21.567092
655,21.581635
656,21.597856
657,21.611899
658,21.617099
659,21.630334
660,21.646433
661,21.660732
662,21.665932
663,21.680003
664,21.693273
665,21.706558
666,21.720401
667,21.725601
668,21.738988
669,21.744188
670,21.757587
671,21.772443
672,21.787375
673,21.802121
674,21.807321
675,21.812521
676,21.825807
677,21.839408
678,21.852219
679,21.857419
680,21.871176
681,21.885315
682,21.898249
683,21.903449
684,21.917530
685,21.930465
686,21.935665
687,21.949304
688,21.964502
689,21.979159
690,21.999815
691,22.015178
692,22.029000
693,22.042162
694,22.056327
695,22.071439
696,22.086637
697,22.100275
698,22.114469
699,22.128098
700,22.141024
701,22.154777
702,22.168449
703,22.182759
704,22.196476
705,22.208671
706,22.223740
707,22.242365
708,22.247165
709,22.260949
710,22.273044
711,22.286718
712,22.299831
713,22.312356
714,22.325578
715,22.336954
716,22.349153
717,22.361697
718,22.373195
719,22.384245
720,22.398062
721,22.410953
722,22.422089
723,22.434453
724,22.445811
725,22.457154
726,22.467355
727,22.478891
728,22.491314
729,22.502977
730,22.514198
731,22.526632
732,22.539820
733,22.550356
734,22.561814
735,22.573215
736,22.584345
737,22.595536
738,22.607767
739,22.624960
740,22.637678
741,22.652408
742,22.664733
743,22.677470
744,22.688401
745,22.699325
746,22.710659
747,22.723455
748,22.735310
749,22.749128
750,22.760287
751,22.771634
752,22.782445
753,22.787045
754,22.791645
755,22.804833
756,22.809433
757,22.820273
758,22.832817
759,22.843521
760,22.854258
761,22.865974
762,22.878759
763,22.889984
764,22.894584
765,22.905368
766,22.916794
767,22.928664
768,22.939892
769,22.944492
770,22.955649
771,22.966279
772,22.979411
773,22.991736
774,23.002425
775,23.013456
776,23.029420
777,23.042310
778,23.053711
779,23.065059
780,23.076216
781,23.086683
782,23.097962
783,23.110748
784,23.125645
785,23.136206
786,23.147190
787,23.164383
788,23.177169
789,23.189579
790,23.201040
791,23.212022
792,23.223453
793,23.234698
794,23.247886
795,23.258170
796,23.269313
797,23.281569
798,23.294355
799,23.306314
800,23.316639
801,23.330356
802,23.341593
803,23.352542
804,23.369586
805,23.380711
806,23.392677
807,23.404495
808,23.418830
809,23.430444
810,23.435044
811,23.446159
812,23.458125
813,23.468978
814,23.482216
815,23.493061
816,23.504200
817,23.516851
818,23.527813
819,23.539085
820,23.551180
821,23.568514
822,23.582229
823,23.597126
824,23.608296
825,23.619564
826,23.630564
827,23.642704
828,23.652538
829,23.662844
830,23.675166
831,23.685827
832,23.698149
833,23.708459
834,23.719592
835,23.733328
836,23.743969
837,23.754351
838,23.765492
839,23.776427
840,23.786632
841,23.798406
842,23.810728
843,23.815128
844,23.828523
845,23.842257
846,23.855213
847,23.867584
848,23.877936
849,23.888301
850,23.899186
851,23.914729
852,23.927642
853,23.937909
854,23.949589
855,23.953989
856,23.965821
857,23.977424
858,23.988053
859,23.999115
860,24.003515
861,24.016795
862,24.027372
863,24.037171
864,24.048281
865,24.060999
866,24.065399
867,24.077721
868,24.087402
869,24.099310
870,24.106903
871,24.116971
872,24.126243
873,24.136137
874,24.149856
875,24.159840
876,24.168691
877,24.180384
878,24.189250
879,24.193050
880,24.201311
881,24.208159
882,24.211359
883,24.218670
884,24.221870
885,24.231059
886,24.239613
887,24.247458
888,24.257703
889,24.265865
890,24.280084
891,24.290329
892,24.297973
893,24.304205
894,24.311484
895,24.318640
896,24.321640
897,24.330587
898,24.338660
899,24.346692
900,24.355255
901,24.363312
