Round Number, Network Remaining Energy
454,6.753739
455,6.740030
456,6.696453
457,6.676120
458,6.655076
459,6.635816
460,6.615141
461,6.593545
462,6.573831
463,6.551923
464,6.525080
465,6.505049
466,6.479352
467,6.453742
468,6.428087
469,6.408556
470,6.383101
471,6.346524
472,6.326635
473,6.304344
474,6.279029
475,6.253482
476,6.233799
477,6.214338
478,6.190975
479,6.167586
480,6.139760
481,6.112572
482,6.093279
483,6.072755
484,6.054762
485,6.036471
486,6.011210
487,5.986121
488,5.962771
489,5.933400
490,5.913197
491,5.891023
492,5.869504
493,5.848065
494,5.799386
495,5.781344
496,5.752355
497,5.730486
498,5.709470
499,5.691750
500,5.668069
501,5.648736
502,5.616657
503,5.604262
504,5.583267
505,5.565520
506,5.559120
507,5.552720
508,5.539071
509,5.521798
510,5.501639
511,5.490671
512,5.445119
513,5.426577
514,5.409626
515,5.389901
516,5.370865
517,5.352834
518,5.332419
519,5.315220
520,5.297974
521,5.278960
522,5.242863
523,5.222203
524,5.204959
525,5.186052
526,5.168253
527,5.130677
528,5.098641
529,5.092641
530,5.059461
531,5.050018
532,5.032643
533,5.013663
534,4.993315
535,4.972420
536,4.954656
537,4.936189
538,4.911157
539,4.893397
540,4.875596
541,4.855728
542,4.837031
543,4.831031
544,4.809752
545,4.793243
546,4.776038
547,4.759943
548,4.739506
549,4.722498
550,4.702318
551,4.693397
552,4.676445
553,4.650887
554,4.635953
555,4.619366
556,4.604019
557,4.581647
558,4.564441
559,4.551607
560,4.537901
561,4.517131
562,4.502596
563,4.489412
564,4.473206
565,4.458081
566,4.444577
567,4.431028
568,4.416126
569,4.403309
570,4.383809
571,4.371050
572,4.365850
573,4.351806
574,4.336652
575,4.323286
576,4.309793
577,4.294861
578,4.279467
579,4.259769
580,4.245870
581,4.232930
582,4.219237
583,4.205083
584,4.191522
585,4.176620
586,4.163441
587,4.148908
588,4.132465
589,4.112380
590,4.098280
591,4.084382
592,4.068904
593,4.055331
594,4.040522
595,4.026679
596,4.013295
597,3.999929
598,3.985566
599,3.980366
600,3.966898
601,3.953357
602,3.939661
603,3.926434
604,3.911072
605,3.896170
606,3.890970
607,3.885770
608,3.871491
609,3.857328
610,3.842294
611,3.829303
612,3.824103
613,3.809948
614,3.794750
615,3.781093
616,3.767644
617,3.752166
618,3.736695
619,3.717099
620,3.703081
621,3.689942
622,3.676381
623,3.662177
624,3.648971
625,3.633330
626,3.619850
627,3.606450
628,3.586912
629,3.559522
630,3.543715
631,3.527981
632,3.513340
633,3.499731
634,3.486471
635,3.481271
636,3.467302
637,3.452734
638,3.439049
639,3.423410
640,3.418210
641,3.405262
642,3.389838
643,3.376306
644,3.360828
645,3.355628
646,3.341753
647,3.328466
648,3.315134
649,3.300388
650,3.285839
651,3.269590
652,3.254827
653,3.232429
654,3.219292
655,3.203351
656,3.188309
657,3.173363
658,3.160083
659,3.147261
660,3.133586
661,3.117144
662,3.098537
663,3.093337
664,3.078797
665,3.059100
666,3.043901
667,3.026815
668,3.013602
669,2.999342
