Round Number, Total Energy Consumption
454,18.246261
455,18.259970
456,18.303547
457,18.323880
458,18.344924
459,18.364184
460,18.384859
461,18.406455
462,18.426169
463,18.448077
464,18.474920
465,18.494951
466,18.520648
467,18.546258
468,18.571913
469,18.591444
470,18.616899
471,18.653476
472,18.673365
473,18.695656
474,18.720971
475,18.746518
476,18.766201
477,18.785662
478,18.809025
479,18.832414
480,18.860240
481,18.887428
482,18.906721
483,18.927245
484,18.945238
485,18.963529
486,18.988790
487,19.013879
488,19.037229
489,19.066600
490,19.086803
491,19.108977
492,19.130496
493,19.151935
494,19.200614
495,19.218656
496,19.247645
497,19.269514
498,19.290530
499,19.308250
500,19.331931
501,19.351264
502,19.383343
503,19.395738
504,19.416733
505,19.434480
506,19.440880
507,19.447280
508,19.460929
509,19.478202
510,19.498361
511,19.509329
512,19.554881
513,19.573423
514,19.590374
515,19.610099
516,19.629135
517,19.647166
518,19.667581
519,19.684780
520,19.702026
521,19.721040
522,19.757137
523,19.777797
524,19.795041
525,19.813948
526,19.831747
527,19.869323
528,19.901359
529,19.907359
530,19.940539
531,19.949982
532,19.967357
533,19.986337
534,20.006685
535,20.027580
536,20.045344
537,20.063811
538,20.088843
539,20.106603
540,20.124404
541,20.144272
542,20.162969
543,20.168969
544,20.190248
545,20.206757
546,20.223962
547,20.240057
548,20.260494
549,20.277502
550,20.297682
551,20.306603
552,20.323555
553,20.349113
554,20.364047
555,20.380634
556,20.395981
557,20.418353
558,20.435559
559,20.448393
560,20.462099
561,20.482869
562,20.497404
563,20.510588
564,20.526794
565,20.541919
566,20.555423
567,20.568972
568,20.583874
569,20.596691
570,20.616191
571,20.628950
572,20.634150
573,20.648194
574,20.663348
575,20.676714
576,20.690207
577,20.705139
578,20.720533
579,20.740231
580,20.754130
581,20.767070
582,20.780763
583,20.794917
584,20.808478
585,20.823380
586,20.836559
587,20.851092
588,20.867535
589,20.887620
590,20.901720
591,20.915618
592,20.931096
593,20.944669
594,20.959478
595,20.973321
596,20.986705
597,21.000071
598,21.014434
599,21.019634
600,21.033102
601,21.046643
602,21.060339
603,21.073566
604,21.088928
605,21.103830
606,21.109030
607,21.114230
608,21.128509
609,21.142672
610,21.157706
611,21.170697
612,21.175897
613,21.190052
614,21.205250
615,21.218907
616,21.232356
617,21.247834
618,21.263305
619,21.282901
620,21.296919
621,21.310058
622,21.323619
623,21.337823
624,21.351029
625,21.366670
626,21.380150
627,21.393550
628,21.413088
629,21.440478
630,21.456285
631,21.472019
632,21.486660
633,21.500269
634,21.513529
635,21.518729
636,21.532698
637,21.547266
638,21.560951
639,21.576590
640,21.581790
641,21.594738
642,21.610162
643,21.623694
644,21.639172
645,21.644372
646,21.658247
647,21.671534
648,21.684866
649,21.699612
650,21.714161
651,21.730410
652,21.745173
653,21.767571
654,21.780708
655,21.796649
656,21.811691
657,21.826637
658,21.839917
659,21.852739
660,21.866414
661,21.882856
662,21.901463
663,21.906663
664,21.921203
665,21.940900
666,21.956099
667,21.973185
668,21.986398
669,22.000658
670,22.014679
671,22.027193
672,22.040997
673,22.057296
674,22.073294
675,22.086966
676,22.099889
677,22.114634
678,22.128318
679,22.133518
680,22.148044
681,22.163830
682,22.179088
683,22.192269
684,22.207021
685,22.234754
686,22.247729
687,22.262037
688,22.275622
689,22.290450
690,22.307111
691,22.321317
692,22.333916
693,22.349255
694,22.362068
695,22.374800
696,22.387238
697,22.399971
698,22.413531
699,22.425886
700,22.437823
701,22.442823
702,22.457445
703,22.470451
704,22.486318
705,22.499218
706,22.513343
707,22.530606
708,22.543144
709,22.554634
710,22.568621
711,22.582876
712,22.595254
713,22.609798
714,22.622250
715,22.639660
716,22.644660
717,22.657589
718,22.671803
719,22.685578
720,22.698660
721,22.717150
722,22.729089
723,22.742708
724,22.757083
725,22.768778
726,22.780045
727,22.784845
728,22.796744
729,22.814314
730,22.832074
731,22.843750
732,22.855280
733,22.868072
734,22.879399
735,22.891066
736,22.902729
737,22.918707
738,22.935391
739,22.940191
740,22.952538
741,22.970046
742,22.987668
743,22.998883
744,23.012769
745,23.024219
746,23.029019
747,23.042442
748,23.054692
749,23.068379
750,23.080750
751,23.093344
752,23.105327
753,23.116904
754,23.130639
755,23.142142
756,23.154933
757,23.172147
758,23.176947
759,23.187555
760,23.199970
761,23.210594
762,23.226194
763,23.230594
764,23.241223
765,23.245623
766,23.259585
767,23.270138
768,23.282545
769,23.293618
770,23.305994
771,23.317792
772,23.328499
773,23.341461
774,23.353811
775,23.364184
776,23.368584
777,23.380473
778,23.391896
779,23.403670
780,23.415490
781,23.425830
782,23.436041
783,23.450619
784,23.461805
785,23.477361
786,23.491884
787,23.503701
788,23.517577
789,23.530961
790,23.544346
791,23.553926
792,23.557926
793,23.569393
794,23.578716
795,23.588340
796,23.599407
797,23.603407
798,23.612303
799,23.622624
800,23.632298
801,23.636298
802,23.645466
803,23.654956
804,23.664489
805,23.673470
806,23.684333
807,23.688333
808,23.697799
809,23.707706
810,23.716936
811,23.727488
812,23.738543
813,23.748152
814,23.757906
815,23.766889
816,23.781102
817,23.790588
818,23.802071
819,23.811345
820,23.822424
821,23.830772
822,23.840561
823,23.849965
824,23.860517
825,23.870769
826,23.880892
827,23.895106
828,23.906161
829,23.915262
830,23.924832
831,23.935911
